Code;num;Name;abstention;inscrits;nuls;blancs;exprimes;dupont;lepen;macron;Name;;Pays;"Nombre 
d'inscrits";"Nombre 
de votants";"% 
Participation";Nuls;Blancs;Total exprimÇs;"% 
Suff. ExprimÇs";"Total voix 
Emmanuel 
MACRON";"%
Emmanuel 
MACRON";"Total voix 
Marine LE PEN";"%
Marine
 LE PEN"
GM;270;GAMBIE;0;0;0;0;0;0;0;0;GAMBIE;;0;0;0;0,00%;0;0;0;0,00%;0;0,00%;0;0,00%
GH;288;GHANA;301;637;0;5;331;4;18;129;GHANA;;GHANA;637;334;52,43%;2;19;313;49,14%;285;91,05%;28;8,95%
GN;270;GUINêEE;1151;1766;0;2;613;3;46;231;GUINêEE;;GUINêE;1765;621;35,18%;5;32;584;33,09%;508;86,99%;76;13,01%
GW;624;GUINêEE-BISSAU;0;0;0;0;0;0;0;0;GUINêEE-BISSAU;;0;0;0;0,00%;0;0;0;0,00%;0;0,00%;0;0,00%
GQ;226;GUINE_EQUA;97;233;1;2;133;4;18;43;GUINE_EQUA;;GUINêE êQUATORIALE;233;123;52,79%;1;10;112;48,07%;86;76,79%;26;23,21%
KE;404;KENYA;390;911;0;4;517;2;24;238;KENYA;;KENYA;911;510;55,98%;1;23;486;53,35%;450;92,59%;36;7,41%
LS;426;LESOTHO;0;0;0;0;0;0;0;0;LESOTHO;;0;0;0;0,00%;0;0;0;0,00%;0;0,00%;0;0,00%
LR;430;LIBEêRIA;0;0;0;0;0;0;0;0;LIBEêRIA;;0;0;0;0,00%;0;0;0;0,00%;0;0,00%;0;0,00%
LY;434;LIBYE;99;106;0;0;7;0;0;0;LIBYE;;LIBYE;106;16;15,09%;0;5;11;10,38%;11;100,00%;0;0,00%
MG;450;MADAGASCAR;7045;12292;29;60;5158;115;500;1784;MADAGASCAR;;MADAGASCAR;12304;5463;44,40%;70;214;5179;42,09%;4417;85,29%;762;14,71%
MW;454;MALAWI;0;0;0;0;0;0;0;0;MALAWI;;0;0;0;0,00%;0;0;0;0,00%;0;0,00%;0;0,00%
ML;466;MALI;2169;3154;4;9;972;8;51;338;MALI;;MALI;3171;990;31,22%;8;36;946;29,83%;846;89,43%;100;10,57%
MA;504;MAROC;15630;33930;49;132;18119;218;750;5723;MAROC;;MAROC;34461;18308;53,13%;182;919;17207;49,93%;15868;92,22%;1339;7,78%
MU;480;MAURICE;7914;7976;30;32;0;92;452;1086;MAURICE;;MAURICE;7981;3920;49,12%;37;200;3683;46,15%;2940;79,83%;743;20,17%
MR;478;MAURITANIE;496;894;1;4;393;8;32;135;MAURITANIE;;MAURITANIE;894;408;45,64%;9;26;373;41,72%;309;82,84%;64;17,16%
MZ;508;MOZAMBIQUE;158;361;0;1;202;0;6;66;MOZAMBIQUE;;MOZAMBIQUE;361;219;60,66%;4;8;207;57,34%;194;93,72%;13;6,28%
NA;516;NAMIBIE;0;0;0;0;0;0;0;0;NAMIBIE;;0;0;0;0,00%;0;0;0;0,00%;0;0,00%;0;0,00%
NG;566;NIGêERIA;371;862;0;6;485;2;40;180;NIGêERIA;;NIGER;878;391;44,53%;1;22;368;41,91%;312;84,78%;56;15,22%
NE;562;NIGER;493;877;0;1;383;8;28;118;NIGER;;NIGêRIA;864;506;58,56%;3;32;471;54,51%;405;85,99%;66;14,01%
UG;800;OUGANDA;51;194;0;2;141;2;8;60;OUGANDA;;OUGANDA;194;145;74,74%;2;8;135;69,59%;123;91,11%;12;8,89%
RE;638;RêEUNION;0;0;0;0;0;0;0;0;RêEUNION;;0;0;0;0,00%;0;0;0;0,00%;0;0,00%;0;0,00%
RW;646;RWANDA;93;223;2;2;126;0;4;41;RWANDA;;RWANDA;224;123;54,91%;1;8;114;50,89%;100;87,72%;14;12,28%
SN;686;SêENêGAL;8308;13779;20;39;5412;86;398;1616;SêENêGAL;;SêNêGAL;13819;5391;39,01%;41;262;5088;36,82%;4417;86,81%;671;13,19%
EH;732;SAHARA OCCIDENTAL;0;0;0;0;0;0;0;0;SAHARA OCCIDENTAL;;0;0;0;0,00%;0;0;0;0,00%;0;0,00%;0;0,00%
SH;654;SAINTE-HêL‚NE, ASCENSION ET TRISTAN DA CUNHA;0;0;0;0;0;0;0;0;SAINTE-HêL‚NE, ASCENSION ET TRISTAN DA CUNHA;;0;0;0;0,00%;0;0;0;0,00%;0;0,00%;0;0,00%
ST;678;SAO TOMê-ET-PRINCIPE;0;0;0;0;0;0;0;0;SAO TOMê-ET-PRINCIPE;;0;0;0;0,00%;0;0;0;0,00%;0;0,00%;0;0,00%
SC;690;SEYCHELLES;207;372;2;2;161;4;25;42;SEYCHELLES;;SEYCHELLES;373;178;47,72%;4;8;166;44,50%;130;78,31%;36;21,69%
SL;694;SIERRA LEONE;0;0;0;0;0;0;0;0;SIERRA LEONE;;0;0;0;0,00%;0;0;0;0,00%;0;0,00%;0;0,00%
SO;706;SOMALIE;0;0;0;0;0;0;0;0;SOMALIE;;0;0;0;0,00%;0;0;0;0,00%;0;0,00%;0;0,00%
SOMA;-99;SOMALILAND;0;0;0;0;0;0;0;0;SOMALILAND;;0;0;0;0,00%;0;0;0;0,00%;0;0,00%;0;0,00%
SD;729;SOUDAN;49;123;1;0;73;1;6;28;SOUDAN;;SOUDAN;123;75;60,98%;1;5;69;56,10%;57;82,61%;12;17,39%
SS;728;SOUDAN DU SUD;0;0;0;0;0;0;0;0;SOUDAN DU SUD;;0;0;0;0,00%;0;0;0;0,00%;0;0,00%;0;0,00%
SZ;748;SWAZILAND;0;0;0;0;0;0;0;0;SWAZILAND;;0;0;0;0,00%;0;0;0;0,00%;0;0,00%;0;0,00%
TZ;834;TANZANIE, RêPUBLIQUE UNIE DE;196;384;0;1;187;3;10;78;TANZANIE, RêPUBLIQUE UNIE DE;;TANZANIE;397;199;50,13%;3;8;188;47,36%;177;94,15%;11;5,85%
TD;148;TCHAD;393;788;0;4;391;5;36;123;TCHAD;;TCHAD;789;386;48,92%;2;27;357;45,25%;289;80,95%;68;19,05%
TG;768;TOGO;1309;2084;2;9;764;10;50;344;TOGO;;TOGO;2084;836;40,12%;4;47;785;37,67%;695;88,54%;90;11,46%
TN;788;TUNISIE;9215;16808;49;27;7517;76;249;2766;TUNISIE;;TUNISIE;16834;7862;46,70%;54;219;7589;45,08%;7129;93,94%;460;6,06%
ZM;894;ZAMBIE;0;0;0;0;0;0;0;0;ZAMBIE;;0;0;0;0,00%;0;0;0;0,00%;0;0,00%;0;0,00%
ZW;716;ZIMBABWE;83;150;0;2;65;3;2;34;ZIMBABWE;;ZIMBABWE;150;69;46,00%;2;2;65;43,33%;59;90,77%;6;9,23%
